Name,Title,Abstract
Martino Russi,HopeJr：面向所有人的500美元开源人形机械臂,介绍一款价值500美元的开源人形机械臂和手套系统，支持实时学习和远程操作。探讨人工智能、机器人技术和嵌入式系统如何融合，赋能个人创造者，重塑人机交互界面。系统涵盖机械设计、嵌入式架构和控制管道，实现从人类输入的实时学习。目标是让机器人技术民主化，使具身技术无需大型团队或工业实验室即可获得。还将讨论开源硬件挑战、开发直观远程操作系统，以及将机器学习集成到技术栈中的问题。该项目旨在降低机器人技术门槛，推动开源硬件发展。
Jinwei Gu,Cosmos物理AI世界基础模型,NVIDIA Cosmos是专为物理AI设计的世界基础模型家族，包含Cosmos-Predict、Cosmos-Transfer和Cosmos-Reason三个主要组件。本次演讲将概述Cosmos模型、其开发历程、基准测试和评估，以及针对机器人技术和自动驾驶应用的各种后训练类型。演示Cosmos世界基础模型在合成数据生成、具身AI和其他下游任务中的有效性，展现其在推动物理AI发展中的关键作用。通过实际案例展示模型在机器人领域的突破性应用，为未来智能系统发展提供重要技术支撑。
xuan xia,AIRSPEED：用于具身智能的开源通用数据生产平台,随着机器人市场规模预期达到10万亿美元，数据作为驱动机器人智能决策的核心资产价值巨大。然而当前厂商数据生产方式存在服务零散、技术门槛高、成本高昂等痛点。AIRSPEED通用数据生产平台采用ROS2架构，实现分布式灵活部署，支持VR遥操作、手柄遥操作、外骨骼控制等多种设备，可适配任意机器人形态。平台支持预测生成、轨迹合成、资产合成等功能，为具身智能模型训练提供丰富高质量数据资源，满足从基础软硬件开发商到具身智能应用商的全方位数据需求。
Cen Ming,非结构化环境的地图生成和路径规划方法,地面自主平台广泛应用于灾难救援、矿物开采、现场检查和农业作业等领域。定位和建图技术对这些平台至关重要。然而在非结构化环境中，障碍物和不可通行区域类型多样、特征复杂，现有针对结构化场景设计的建图和路径规划方法无法有效发挥作用。因此，研究非结构化环境的地图生成和路径规划方法具有重要研究价值。本研究提出基于激光雷达点云密度分析的三维建图方法，结合平台越野性能分析，生成兼顾效率和安全的最优路径。该方法为自主导航系统提供重要技术支撑。
尹云鹏,从格物到致知，具身智能机器人开发范式的改变,在具身智能与人形机器人交汇发展的背景下，以数据学习、模型训练为核心的机器人开发范式革命正在展开。国家地方共建人形机器人创新中心推出"格物-致知"通用机器人开发平台，提供从高层算法模型训练、任务流编排到底层具身硬件配置的全流程开发能力。搭配国地中心全开源OpenLoong控制框架，一站完成异构本体适配、计算架构适配、仿真实机适配，加速具身智能场景应用落地，推动机器人开发范式向智能化数据驱动方向转变。该平台为机器人产业发展提供重要技术基础。
tao li,基于OpenHarmony的机器人操作系统,深开鸿联合产学研各界，基于OpenHarmony开发开源全场景智能化全栈机器人操作系统，面向教育、工业自动化、巡检和服务机器人等多种应用场景。相比传统基于Ubuntu系统配合ROS中间件的解决方案，采用OpenHarmony作为基础系统结合Dora机器人中间件的架构，在安全性、可控性、可信度、云边端协作和应用开发语言范式方面具有显著优势。同时培育开放生态，促进开源共创，加速商业化进程，为机器人产业提供更可靠的系统基础。该方案推动机器人操作系统技术创新发展。
王鹏伟,具身大小脑操作框架与具身大脑模型构建,智源研究院发布首个跨本体具身大小脑协作框架RoboOS与开源具身大脑RoboBrain，实现跨场景多任务轻量化快速部署与跨本体协作，推动单机智能迈向群体智能。为构建具身智能开源统一生态加速场景应用提供底层技术支持，为主流本体提供一站式大小脑部署流程，提供即插即用解决方案。RoboOS框架支持多机器人协同作业，RoboBrain模型具备强大的多模态理解和决策能力，共同构建完整的具身智能技术栈，促进机器人产业发展。该技术为具身智能系统提供重要创新突破。
Ruping Cen,DORA-RS高性能计算框架在具身机器人中的应用,本演讲介绍dora-rs框架的内在优势及其在多个具身机器人平台上的具体应用，以支持dora-rs的抓取和分拣系统为例进行说明。dora-rs作为高性能计算框架，具备低延迟数据流驱动的中间件特性，支持共享内存、零拷贝执行模型。通过MickRobot双臂人形机器人平台的工程实践，展示从机械设计、硬件集成到感知定位、导航控制系统的完整开发流程。框架在多传感器融合定位、移动机器人定位导航等方面表现出色，为具身机器人提供可靠技术支撑。该框架推动机器人系统性能显著提升。
Edgar Riba,Amiga：智慧农业和户外物流的模块化AI优先平台,本演讲介绍Amiga下一代漫游者平台，专为农业和户外物流模块化机器人设计。Amiga为快速原型设计和实际部署而设计，支持可定制电动多用途车辆，简化劳动密集型任务，降低成本，支持有机再生农业实践。展示硬件软件模块化特性，包括可互换工具包和驱动系统，支持从土壤分析到自主收获的广泛现场应用。通过SDK示例展示开发者工具如何提供易用API和边缘ML管道，驱动代理AI和视觉语言动作模型实现动态环境响应能力。平台与Dora-rs紧密集成，推动农业机器人技术发展。
Jian Shi,基于Kornia的可访问代理计算机视觉,本演讲介绍突破性的计算机视觉方法，结合Kornia视觉库和大语言模型创建代理计算机视觉系统。演示如何利用机器控制协议将复杂计算机视觉操作转换为自然语言交互，使高级图像视频处理对任何编程水平的用户都易于访问。系统将自然语言指令翻译为精确的计算机视觉操作，这不仅是命令行包装器，而是理解上下文、智能决策处理管道并提供有意义反馈的AI助手，使非技术用户能够进行复杂图像变换实验。该技术民主化先进计算机视觉能力，为用户提供便捷智能的视觉处理解决方案。
Xavier,使用dora-rs混合多模态AI模型解决复杂机器人任务,近期变压器模型在许多复杂预测任务中实现突破性结果，使机器人技术中一些具有挑战性的任务变得可行。本演讲将重点介绍在机器人技术中发挥决定性作用的模型及其当前局限性。dora-rs作为突破性中间件，能够在AI模型、传感器和执行器之间以最先进的性能共享数据，使我们能够构建跨模态的复杂应用：文本、音频、视觉和动作。这使我们能够创建非常复杂的机器人演示。希望通过本次演讲，激发大家思考如何解决这些问题或基于这些模型构建自己的项目。该技术为复杂机器人任务提供创新解决方案。